Tutorial Group,Team Assigned,Student ID,School,Name,Gender,CGPA
G-03,Team 04,1782,CCDS,Harvey Smith,M,4.05
G-03,Team 04,2680,MAE,Nida Waseem,F,4.0
G-03,Team 04,5580,SSS,Wei Fang,M,4.12
G-03,Team 05,2098,SoH,Zhen Yu,M,4.09
G-03,Team 05,2124,CCDS,Keith Tan,M,3.96
G-03,Team 05,2746,CoE,Xuan Zhang,M,4.2
G-03,Team 05,341,CCDS,Cecilia Chen,F,4.03
G-03,Team 05,585,SoH,Naina Kapoor,F,4.12
G-03,Team 06,1710,CoE,Mansoor Aslam,M,3.95
G-03,Team 06,2061,CCDS,Leo Li,M,4.15
G-03,Team 06,3740,ADM,Zuri Lin,F,4.02
G-03,Team 06,5379,WKW SCI,Gita Saputra,F,4.15
G-03,Team 06,668,EEE,Riya Desai,F,4.08
G-03,Team 07,26,WKW SCI,Autumn Diaz,F,4.03
G-03,Team 07,310,SSS,Zeeshan Bukhari,F,4.17
G-03,Team 07,3409,CCDS,Milo Tan,M,4.17
G-03,Team 07,4723,CoE,Asher Brown,M,4.15
G-03,Team 07,5989,EEE,Rachel Ong,F,3.96
G-03,Team 08,1242,CCEB,Qing Li,F,4.01
G-03,Team 08,2701,CEE,Nguyen Van Tam,M,4.18
G-03,Team 08,3045,EEE,Jing Xuan,F,4.03
G-03,Team 08,3463,MAE,Felix Tsang,M,4.0
G-03,Team 08,5187,CoB (NBS),Rita Rani,F,4.05
G-03,Team 09,3028,CEE,Hunter Green,M,4.97
G-03,Team 09,3296,MAE,Christian Ward,M,4.11
G-03,Team 09,3405,CoB (NBS),Nadia Noor,F,4.03
G-03,Team 09,4764,EEE,Evelyn Wong,F,3.85
G-03,Team 09,650,SPMS,Olivia Goh,F,4.15
G-03,Team 10,1648,MAE,Benjamin Hernandez,M,4.79
G-03,Team 10,3612,CoB (NBS),Maya Zhang,F,3.9
G-03,Team 10,4291,CEE,Ethan Lee,M,4.02
G-03,Team 10,4981,EEE,Aditi Bhatia,F,4.1
G-03,Team 10,584,CCEB,Ella Cheung,F,4.1
G-04,Team 01,1184,MSE,Aaliyah Morgan,F,4.2
G-04,Team 01,1619,CoB (NBS),Aiden Turner,M,4.0
G-04,Team 01,3371,CCEB,Dapeng,F,3.95
G-04,Team 01,345,CoE,Hana Tan,F,4.09
G-04,Team 01,3600,CCEB,Ming Li Tan,F,3.85
G-04,Team 02,2775,CCEB,Zainab Farooq,F,4.15
G-04,Team 02,3831,SSS,Molly Chen,F,4.03
G-04,Team 02,5401,EEE,David Hughes,M,4.15
G-04,Team 02,67,CCEB,Laura Tan,F,3.95
G-04,Team 02,791,CEE,Arvind Rao,M,4.15
G-04,Team 03,1991,CCDS,Emily Tan,F,4.03
G-04,Team 03,3073,WKW SCI,Charles Robinson,M,4.0
G-04,Team 03,3155,EEE,Luca Wu,M,4.02
G-04,Team 03,3159,SSS,Rongwei,F,3.95
G-04,Team 03,3925,CoB (NBS),Sophia Mitchell,F,4.07
G-04,Team 04,1535,CoB (NBS),Sofia Khan,F,4.02
G-04,Team 04,1899,SBS,Charlotte Tsai,F,4.14
G-04,Team 04,2727,SoH,Kieran Ross,M,4.18
G-04,Team 04,3674,CCDS,Xiaoping,F,4.1
G-04,Team 04,5450,CoE,Emilio Garcia,M,4.03
G-04,Team 05,2341,CoE,Elan Shah,M,3.85
G-04,Team 05,3236,CCDS,Xiu Fen,F,4.11
G-04,Team 05,4700,SBS,Ruby Kwan,F,4.16
G-04,Team 05,4944,SoH,William Harris,M,4.12
G-04,Team 05,5979,CoB (NBS),Parvati Chatterjee,F,4.09
G-04,Team 06,1101,CoB (NBS),Nozomi Takahashi,F,4.26
G-04,Team 06,1302,SoH,Zachary Nelson,M,4.12
G-04,Team 06,2107,MAE,Cathy Ng,F,4.08
G-04,Team 06,2985,CCDS,Elias Carter,M,4.14
G-04,Team 06,5413,LKCMedicine,Nurul Hafiza,F,4.2
G-04,Team 07,1734,CCDS,Dmitry Orlov,M,3.9
G-04,Team 07,1830,WKW SCI,Fiona Yeo,F,4.21
G-04,Team 07,2391,EEE,Sanya Mehta,F,4.02
G-04,Team 07,842,SSS,Santiago De Leon,M,4.01
G-04,Team 07,865,CoB (NBS),Meera Bansal,F,3.97
G-04,Team 08,2802,ADM,Nina Baker,F,4.12
G-04,Team 08,3949,MAE,Pooja Verma,F,4.22
G-04,Team 08,4046,CCEB,Kiran Patel,M,4.17
G-04,Team 08,430,EEE,Lan Huang,F,4.05
G-04,Team 08,5644,CoB (NBS),Fatimah Abdullah,F,4.15
G-04,Team 09,3431,CCEB,Dylan Ward,M,4.15
G-04,Team 09,4163,CoB (NBS),Esther Lee,F,4.12
G-04,Team 09,4671,EEE,Juliati Wibowo,F,4.0
G-04,Team 09,5568,LKCMedicine,Sophie Fox,F,4.08
G-04,Team 09,5625,MAE,Nora Pineda,F,3.92
G-04,Team 10,1162,CoB (NBS),Eryan,F,4.2
G-04,Team 10,1930,EEE,Gracie Scott,F,4.22
G-04,Team 10,3498,MAE,Lina Tan,F,4.11
G-04,Team 10,3500,ASE,Sania Bukhari,F,4.04
G-04,Team 10,4605,CCEB,Derek Yang,M,4.1
G-05,Team 01,2028,EEE,Harlow Diaz,F,4.12
G-05,Team 01,3226,ASE,Aarav Patel,M,3.9
G-05,Team 01,4569,MSE,Rina Sato,F,4.19
G-05,Team 01,4766,CoB (NBS),Dylan Kim,M,4.16
G-05,Team 01,554,EEE,Sophie Zhou,F,4.11
G-05,Team 02,1048,SPMS,Imogen Butler,F,4.14
G-05,Team 02,3798,CoB (NBS),Hassan Bin Yusof,M,4.0
G-05,Team 02,4333,MSE,Anthony Parker,M,4.1
G-05,Team 02,5290,MSE,Tanya Qureshi,F,3.95
G-05,Team 02,614,EEE,Naomi Tanaka,F,3.9
G-05,Team 03,1952,EEE,Riya Ali,F,4.15
G-05,Team 03,1976,NIE,Christopher Harris,M,4.05
G-05,Team 03,385,SPMS,Rhea Joshi,F,4.2
G-05,Team 03,5047,MAE,Victoria Ward,F,4.0
G-05,Team 03,938,CoB (NBS),Ryan Hall,M,3.88
G-05,Team 04,1018,CCEB,Aria Morales,F,4.26
G-05,Team 04,3227,EEE,Savannah Hayes,F,3.9
G-05,Team 04,5445,CoB (NBS),Samuel Huang,M,4.19
G-05,Team 04,5788,CoE,Samantha Taylor,F,4.16
G-05,Team 04,5912,MAE,Dorian Wu,M,4.14
G-05,Team 05,1674,CCDS,Liam Reyes,M,4.14
G-05,Team 05,1922,CCEB,Ananya Choudhury,F,4.03
G-05,Team 05,4472,CoB (NBS),Ying Chen,F,4.22
G-05,Team 05,4931,SPMS,Lucas White,M,4.06
G-05,Team 05,975,ADM,Anushka Desai,F,3.96
G-05,Team 06,1387,WKW SCI,Elijah Clark,M,4.04
G-05,Team 06,2025,CoB (NBS),Xue Rui,F,3.8
G-05,Team 06,2961,SBS,Danying,F,4.05
G-05,Team 06,3231,CCDS,Xiaofang,F,4.15
G-05,Team 06,5458,CCDS,Tian Gao,M,4.48
G-05,Team 07,1246,SSS,Yue Zhang,F,4.07
G-05,Team 07,1336,CCDS,Wendy Wong,F,4.18
G-05,Team 07,2171,WKW SCI,Gavin Carter,M,3.94
G-05,Team 07,2801,SPMS,Dorian Wu,M,4.22
G-05,Team 07,776,CoB (NBS),Suhana Roy,F,4.2
G-05,Team 08,2383,CCDS,Rebecca Lee,F,4.05
G-05,Team 08,5026,EEE,Jamal Bin Rahman,M,4.1
G-05,Team 08,5044,CoB (NBS),Shu Zhang,F,4.01
G-05,Team 08,5732,SSS,Michelle Kwan,F,4.18
G-05,Team 08,999,CoE,Marcus Turner,M,3.88
G-05,Team 09,192,SSS,Layla Chen,F,4.21
G-05,Team 09,2316,EEE,Exiang,M,3.95
G-05,Team 09,3341,CCDS,Olive Li,F,4.01
G-05,Team 09,4015,LKCMedicine,Priya Rao,F,3.95
G-05,Team 09,564,CoB (NBS),Qi Wang,F,4.25
G-05,Team 10,1784,CCEB,Nadia Chai,F,4.03
G-05,Team 10,2309,EEE,Dmitri Andreev,M,4.03
G-05,Team 10,2825,SoH,Tatiana Morozova,F,4.11
G-05,Team 10,5658,CoB (NBS),Nisha Tan,F,4.21
G-05,Team 10,5755,CCDS,Katherine Lim,F,3.88
G-06,Team 01,1951,CCDS,Madison Clark,F,4.03
G-06,Team 01,2090,MSE,Emilio Cruz,M,4.09
G-06,Team 01,3079,EEE,Khalid Bin Mohd,M,4.25
G-06,Team 01,4257,WKW SCI,Yasmine Tan,F,4.14
G-06,Team 01,5070,CoB (NBS),Alyssa Wong,F,4.18
G-06,Team 02,3098,CoB (NBS),Aadhya Patel,F,4.19
G-06,Team 02,3891,NIE,Sarah Robinson,F,3.9
G-06,Team 02,416,EEE,Li Wei Tan,M,4.0
G-06,Team 02,4322,CCDS,Lily Zhao,F,4.22
G-06,Team 02,4590,NIE,Kendall Yang,M,4.01
G-06,Team 03,1654,NIE,Riya Singh,F,3.92
G-06,Team 03,1967,CCDS,Angela Zhou,F,4.19
G-06,Team 03,2402,EEE,Gabriel Howard,M,4.09
G-06,Team 03,3285,SBS,Kian Wei Lim,M,4.05
G-06,Team 03,4345,CoB (NBS),Clara Tan,F,3.95
G-06,Team 04,1154,EEE,Wei Chen,M,4.0
G-06,Team 04,1610,MAE,Puja Nair,F,4.11
G-06,Team 04,2938,CoB (NBS),Siti Mariam,F,4.02
G-06,Team 04,798,SPMS,Jade Wibowo,F,4.2
G-06,Team 04,974,CoE,Dylan Ong,M,4.1
G-06,Team 05,1310,CCEB,Pauline Fung,F,4.18
G-06,Team 05,206,MSE,Hannah Binti Ahmad,F,4.0
G-06,Team 05,2883,WKW SCI,Ryo Tanaka,M,4.01
G-06,Team 05,2971,SoH,Diana Ng,F,3.98
G-06,Team 05,3538,SoH,Elliot Wong,M,4.19
G-06,Team 06,2422,CEE,Cameron Yang,M,4.08
G-06,Team 06,2455,EEE,Yuki Hoshino,F,4.22
G-06,Team 06,4390,MSE,Aubrey Carter,F,4.02
G-06,Team 06,5113,CCDS,Brady Yang,M,4.15
G-06,Team 06,5567,SBS,Mira Zhao,F,4.26
G-06,Team 07,1827,SoH,Miranda Chang,F,4.02
G-06,Team 07,2774,SSS,Maya Brown,F,3.95
G-06,Team 07,4343,CoB (NBS),Suresh Nair,M,3.91
G-06,Team 07,4430,EEE,Vicky Tan,F,4.22
G-06,Team 07,5167,CEE,Asher Edwards,M,4.02
G-06,Team 08,1716,SPMS,Rajesh Iyer,M,4.0
G-06,Team 08,2265,CoB (NBS),Ranjit Singh,M,4.03
G-06,Team 08,4311,EEE,Umi Lestari,F,4.05
G-06,Team 08,4419,SoH,Lianhua,F,3.85
G-06,Team 08,4516,LKCMedicine,Claire Ng,F,4.79
G-06,Team 09,1177,CCEB,Anum Malik,F,4.22
G-06,Team 09,1427,EEE,Rhea Tan,F,4.22
G-06,Team 09,2939,SoH,Isha Patel,F,4.04
G-06,Team 09,5426,SPMS,Henry Ramirez,M,4.14
G-06,Team 09,5985,CoB (NBS),Elijah Huang,M,4.03
G-06,Team 10,1124,CCDS,Yuri Lebedev,M,4.17
G-06,Team 10,1641,SoH,Harper Hall,F,4.12
G-06,Team 10,2748,CoB (NBS),Brayden Lewis,M,4.09
G-06,Team 10,3915,SSS,Abigail Nelson,F,4.06
G-06,Team 10,4182,EEE,Meera Rao,F,4.26
G-07,Team 01,2655,MAE,Vera Yip,F,4.14
G-07,Team 01,3805,NIE,Charlie Wong,M,4.15
G-07,Team 01,433,CoB (NBS),Priscilla Tan,F,3.88
G-07,Team 01,4772,EEE,Anish Bhatia,M,4.35
G-07,Team 01,5729,CCEB,Aiman Bin Azman,M,4.1
G-07,Team 02,2463,CCEB,Harsh Kumar,M,4.19
G-07,Team 02,2472,NIE,Cheng Wei,M,4.08
G-07,Team 02,2498,EEE,Ahmad bin Ali,M,4.18
G-07,Team 02,3924,CoB (NBS),Ayesha Shirin,F,4.02
G-07,Team 02,984,MAE,Siti Aminah,F,3.95
G-07,Team 03,4279,MAE,Yuan Yi,F,4.3
G-07,Team 03,4398,EEE,Aiden Smith,M,4.12
G-07,Team 03,5622,CCDS,Derek Johnson,M,3.9
G-07,Team 03,5822,SPMS,Daniel Patel,M,3.88
G-07,Team 03,88,CoB (NBS),Addison Yang,F,4.09
G-07,Team 04,1357,SoH,Isabella Clark,F,4.04
G-07,Team 04,2967,CCDS,Oscar Lim,M,4.11
G-07,Team 04,3257,MAE,Aria Khan,F,4.14
G-07,Team 04,4197,MSE,Eli Tan,M,3.89
G-07,Team 04,4320,EEE,Bilal Hussain,M,4.01
G-07,Team 05,1116,NIE,Hunter Powell,M,4.14
G-07,Team 05,328,MAE,Evelyn Kelly,F,4.26
G-07,Team 05,4601,SPMS,Rosa Martinez,F,4.0
G-07,Team 05,4853,SBS,Andre Green,M,4.03
G-07,Team 05,690,EEE,Hikaru Kuroda,M,4.12
G-07,Team 06,2057,ADM,Noah Huang,M,4.2
G-07,Team 06,5077,SPMS,Neha Joshi,F,4.17
G-07,Team 06,5102,CCEB,Ursula Scott,F,4.07
G-07,Team 06,5145,EEE,Isaiah Lee,M,4.03
G-07,Team 06,5193,SoH,Min-Seok Lee,M,4.22
G-07,Team 07,1074,EEE,Matthew Lee,M,4.02
G-07,Team 07,1462,SBS,Yvonne Reyes,F,3.9
G-07,Team 07,3448,ADM,Yoshinori Yamashita,M,3.89
G-07,Team 07,4318,SoH,Hassan Malik,M,4.05
G-07,Team 07,5243,CCEB,Soo-Yeon Lee,F,4.02
G-07,Team 08,2263,SBS,Indriani Wulandari,F,4.25
G-07,Team 08,4184,SSS,Yun Chen,F,4.2
G-07,Team 08,550,EEE,Yong Jie,M,4.15
G-07,Team 08,73,SoH,Daniel Robinson,M,4.08
G-07,Team 08,927,CCEB,Sofia Patel,F,4.13
G-07,Team 09,2113,CCDS,Sofia Martinez,F,4.08
G-07,Team 09,2159,CoB (NBS),Shinji Yoshida,M,3.91
G-07,Team 09,3298,SSS,Xena Kwan,F,4.14
G-07,Team 09,3624,MAE,Minh Tran,M,3.9
G-07,Team 09,955,CCEB,Devika Mehta,F,4.1
G-07,Team 10,135,CoB (NBS),Waleed Iqbal,M,4.21
G-07,Team 10,2211,CEE,Rita Chan,F,4.07
G-07,Team 10,2755,CoB (NBS),Bingwen,M,4.52
G-07,Team 10,3407,CCDS,Ariana Tsai,F,4.03
G-07,Team 10,4351,EEE,Zoe Parker,F,4.18
G-08,Team 01,1904,SPMS,Kyle Wang,M,4.2
G-08,Team 01,2188,CCEB,Suki Wang,F,4.12
G-08,Team 01,3514,CoB (NBS),Michael Zhang,M,4.11
G-08,Team 01,4048,CCDS,Dmitry Petrov,M,4.14
G-08,Team 01,4709,EEE,Avery Li,F,4.04
G-08,Team 02,1497,CCDS,Jacob Robinson,M,4.48
G-08,Team 02,1673,MSE,Levi Parker,M,4.14
G-08,Team 02,4774,CCEB,Zara Rahman,F,4.03
G-08,Team 02,4942,EEE,Cindy Wong,F,4.2
G-08,Team 02,5515,CoB (NBS),Seung-Jin Han,M,4.02
G-08,Team 03,2785,CEE,Angela Tan,F,4.14
G-08,Team 03,2979,CCDS,Aidan Foster,M,4.05
G-08,Team 03,3368,SoH,Nathan Adams,M,4.18
G-08,Team 03,4889,SSS,Wendy Au,F,3.92
G-08,Team 03,5111,EEE,Yuki Takeda,F,3.92
G-08,Team 04,2374,CCDS,Thao Le,M,4.12
G-08,Team 04,3623,SoH,Zane Carter,M,4.12
G-08,Team 04,3898,CoB (NBS),Mila Reed,F,4.19
G-08,Team 04,4208,CEE,Mia Morgan,F,4.01
G-08,Team 04,542,CoE,Mei Wang,F,4.11
G-08,Team 05,1708,CoB (NBS),Mason Hughes,M,3.89
G-08,Team 05,179,MAE,Liam Hill,M,4.19
G-08,Team 05,2339,WKW SCI,Laila Ali,F,4.04
G-08,Team 05,2496,CoE,Ayla Wong,F,4.04
G-08,Team 05,4527,CoB (NBS),Jade Chang,F,4.18
G-08,Team 06,2387,CCDS,Sofia Chen,F,4.18
G-08,Team 06,3068,EEE,Rafiq Bin Zain,M,4.2
G-08,Team 06,4643,WKW SCI,Kiran Rane,F,4.12
G-08,Team 06,5265,MAE,Aria Singh,F,3.95
G-08,Team 06,5334,MAE,Souta Watanabe,M,4.04
G-08,Team 07,2591,EEE,Liu Hong,M,4.17
G-08,Team 07,4548,CoE,Michael Young,M,4.19
G-08,Team 07,4717,ASE,Dara Cheng,F,4.04
G-08,Team 07,593,CCDS,Poppy Cahyani,F,4.1
G-08,Team 07,917,SoH,Lara Cruz,F,4.07
G-08,Team 08,2711,MSE,Anushka Verma,F,4.25
G-08,Team 08,4580,EEE,Landon Lim,M,4.03
G-08,Team 08,5031,CEE,Dominic Li,M,4.14
G-08,Team 08,5529,SoH,Jane Smith,F,4.02
G-08,Team 08,786,CCDS,Neha Iyer,F,4.05
G-08,Team 09,1267,EEE,Joshua White,M,4.09
G-08,Team 09,2694,CCEB,Cheng Li,M,4.14
G-08,Team 09,4334,SBS,Amara Belle,F,3.91
G-08,Team 09,5860,CoB (NBS),Wei Chen,F,4.05
G-08,Team 09,5883,CCDS,Kira Tanaka,F,4.04
G-08,Team 10,3897,LKCMedicine,Alena Chang,F,4.15
G-08,Team 10,3948,EEE,Harry Ho,M,4.12
G-08,Team 10,4893,CCDS,Fatima Tan,F,3.86
G-08,Team 10,5387,CoB (NBS),Tian Wei,F,4.02
G-08,Team 10,5537,CCEB,Aminah Binte,M,4.02
G-09,Team 01,3033,EEE,Aayush Gupta,M,4.2
G-09,Team 01,3673,LKCMedicine,Parker Li,M,3.91
G-09,Team 01,4016,CoB (NBS),Anika Sharma,F,4.08
G-09,Team 01,4112,NIE,Jin-Ho Park,M,4.3
G-09,Team 01,5224,SoH,Nancy Tan,F,4.12
G-09,Team 02,119,CoB (NBS),Evangeline Rivera,F,4.02
G-09,Team 02,2642,SBS,Liam Tan,M,4.06
G-09,Team 02,4012,NIE,Umar Faisal,M,4.05
G-09,Team 02,5312,SoH,Ying Wang,F,4.0
G-09,Team 02,55,EEE,Aarav Kumar,M,4.19
G-09,Team 03,1158,CCDS,Bryan Villanueva,M,4.08
G-09,Team 03,173,SPMS,Chandni Kapoor,F,3.88
G-09,Team 03,4086,MSE,Rafael Gonzalez,M,4.04
G-09,Team 03,4991,CoB (NBS),Felicia Cheung,F,4.08
G-09,Team 03,706,EEE,Amir Ali,M,4.22
G-09,Team 04,2632,CCDS,Faisal Noor,M,4.14
G-09,Team 04,2974,CoB (NBS),Lian Zhang,F,4.1
G-09,Team 04,2991,CEE,Yuri Li,M,4.03
G-09,Team 04,5028,MAE,Peizhen,F,4.05
G-09,Team 04,959,EEE,Henry Clark,M,4.04
G-09,Team 05,1451,EEE,Kieran Kim,M,4.48
G-09,Team 05,2158,CoB (NBS),Na Li,F,4.15
G-09,Team 05,3899,MAE,Mimi Binti Rahman,F,4.0
G-09,Team 05,4428,WKW SCI,Tanvi Sinha,F,4.18
G-09,Team 05,4658,CCDS,Naman Singh,M,4.19
G-09,Team 06,1441,CoB (NBS),Quiana Villanueva,F,3.88
G-09,Team 06,1718,MAE,Lily Cheng,F,4.12
G-09,Team 06,2976,EEE,Lucas Ramirez,M,4.06
G-09,Team 06,5140,CCEB,Tania Noor,F,4.18
G-09,Team 06,807,MSE,Andre Green,M,4.09
G-09,Team 07,2350,CCDS,Violet Wang,F,4.0
G-09,Team 07,3465,SPMS,Rohan Nair,M,3.94
G-09,Team 07,536,EEE,Nicolas Xu,M,4.08
G-09,Team 07,5939,CoB (NBS),Sharon Goh,F,3.9
G-09,Team 07,605,CCEB,Soo-Jung Kim,F,4.14
G-09,Team 08,1052,CoB (NBS),Riley Parker,M,4.08
G-09,Team 08,1284,NIE,Katherine Sari,F,4.05
G-09,Team 08,3799,SPMS,Eli Brown,M,4.03
G-09,Team 08,4014,SSS,Nisha Patel,F,4.14
G-09,Team 08,737,EEE,Lena Chen,F,4.22
G-09,Team 09,1020,CEE,Lillian Wu,F,4.02
G-09,Team 09,1095,EEE,Hannah Li,F,4.06
G-09,Team 09,1890,CoB (NBS),Ravi Kumar,M,4.09
G-09,Team 09,563,SoH,Kiran Mehta,M,4.14
G-09,Team 09,688,NIE,Farah Rahman,F,4.01
G-09,Team 10,3357,CoB (NBS),Darren Lee,M,3.9
G-09,Team 10,3460,SoH,Arif Hussain,M,4.01
G-09,Team 10,4953,ASE,Fumiko Yamashita,F,4.09
